Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Shavlik Randolph,2006,2015,F,6-10,240,"November 24, 1983",Duke University
Shawn Bradley,1994,2005,C,7-6,235,"March 22, 1972",Brigham Young University
Shawn Kemp,1990,2003,F-C,6-10,230,"November 26, 1969",Trinity Valley Community College
Shawn Long,2017,2017,C-F,6-9,255,"January 29, 1993",University of Louisiana at Lafayette
Shawn Marion,2000,2015,F,6-7,220,"May 7, 1978","University of Nevada, Las Vegas"
Shawn Respert,1996,1999,G,6-1,195,"February 6, 1972",Michigan State University
Shawne Williams,2007,2015,F,6-9,225,"February 16, 1986",University of Memphis
Shawnelle Scott,1997,2002,C,6-10,250,"June 16, 1972",St. John's University
Shayne Whittington,2015,2016,F-C,6-11,250,"March 27, 1991",Western Michigan University
Shea Seals,1998,1998,G,6-5,210,"August 26, 1975",University of Tulsa
Shelden Williams,2007,2012,F,6-9,250,"October 21, 1983",Duke University
Sheldon Mac,2017,2017,G,6-5,200,"December 21, 1992",University of Miami
Shelton Jones,1989,1989,F,6-9,210,"April 6, 1966",St. John's University
Shelvin Mack,2012,2019,G,6-3,203,"April 22, 1990",Butler University
Sherell Ford,1996,1996,F,6-7,210,"August 26, 1972",University of Illinois at Chicago
Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse University
Sherron Collins,2011,2011,G,5-11,205,"March 18, 1987",University of Kansas
Sidney Green,1984,1993,F-C,6-9,220,"January 4, 1961","University of Nevada, Las Vegas"
Sidney Lowe,1984,1990,G,6-0,195,"January 21, 1960",North Carolina State University
Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State University
Sindarius Thornwell,2018,2019,G,6-5,215,"November 15, 1994",University of South Carolina
Skal Labissiere,2017,2019,F,6-11,235,"March 18, 1996",University of Kentucky
Skeeter Henry,1994,1994,G,6-7,190,"December 8, 1967","Midland College, University of Oklahoma"
Slavko Vranes,2004,2004,C,7-5,275,"January 30, 1983",
Sleepy Floyd,1983,1995,G,6-3,170,"March 6, 1960",Georgetown University
Smush Parker,2003,2008,G,6-4,190,"June 1, 1981",Fordham University
Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University
Solomon Hill,2014,2019,F,6-7,225,"March 18, 1991",University of Arizona
Solomon Jones,2007,2014,F,6-10,230,"July 16, 1984",University of South Florida
Sonny Weems,2009,2016,G-F,6-6,205,"July 8, 1986",University of Arkansas
Soumaila Samake,2001,2003,C,7-0,230,"March 18, 1978",
Speedy Claxton,2002,2009,G,5-11,166,"May 8, 1978",Hofstra University
Spencer Dinwiddie,2015,2019,G,6-6,210,"April 6, 1993",University of Colorado
Spencer Hawes,2008,2017,C-F,7-1,245,"April 28, 1988",University of Washington
Spud Webb,1986,1998,G,5-6,133,"July 13, 1963","Midland College, North Carolina State University"
Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968","University of Nevada, Las Vegas"
Stacey King,1990,1997,F-C,6-11,230,"January 29, 1967",University of Oklahoma
Stan Kimbrough,1990,1993,G,5-11,153,"April 24, 1966","University of Central Florida, Xavier University"
Stanislav Medvedenko,2001,2007,F,6-10,250,"April 4, 1979",
Stanley Brundy,1990,1990,F,6-6,210,"November 13, 1967",DePaul University
Stanley Jackson,1994,1994,G,6-3,185,"October 10, 1970",University of Alabama at Birmingham
Stanley Johnson,2016,2019,F,6-7,245,"May 29, 1996",University of Arizona
Stanley Roberts,1992,2000,C,7-0,285,"February 7, 1970",Louisiana State University
Stefano Rusconi,1996,1996,C-F,6-9,240,"October 2, 1968",
Steffond Johnson,1987,1987,F,6-8,240,"November 4, 1962","Louisiana State University, San Diego State University"
Stephane Lasme,2008,2008,F,6-8,215,"December 17, 1982",University of Massachusetts Amherst
Stephen Curry,2010,2019,G,6-3,190,"March 14, 1988",Davidson College
Stephen Graham,2006,2011,G,6-6,215,"June 11, 1982","University of Central Florida, Oklahoma State University"
Stephen Howard,1993,1998,F,6-9,225,"July 15, 1970",DePaul University
Stephen Jackson,2001,2014,F-G,6-8,218,"April 5, 1978",Butler County Community College
Stephen Thompson,1992,1992,G,6-4,185,"December 2, 1968",Syracuse University
Stephen Zimmerman,2017,2017,C,7-0,240,"September 9, 1996","University of Nevada, Las Vegas"
Stephon Marbury,1997,2009,G,6-2,180,"February 20, 1977",Georgia Institute of Technology
Sterling Brown,2018,2019,G,6-6,232,"February 10, 1995",Southern Methodist University
Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana University
Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",University of Illinois at Urbana-Champaign
Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",University of Maryland
Steve Bucknall,1990,1990,G,6-6,215,"March 17, 1966",University of North Carolina
Steve Burtt,1985,1993,G,6-2,185,"November 5, 1962",Iona College
Steve Colter,1985,1995,G,6-3,165,"July 24, 1962",New Mexico State University
Steve Francis,2000,2008,G,6-3,195,"February 21, 1977",University of Maryland
Steve Goodrich,2001,2002,F,6-10,220,"March 18, 1976",Princeton University
Steve Hamer,1997,1997,C,7-0,245,"November 13, 1973",University of Tennessee
Steve Harris,1986,1990,G,6-5,195,"October 15, 1963",University of Tulsa
Steve Hayes,1982,1986,C,7-0,205,"August 2, 1955",Idaho State University
Steve Henson,1991,1999,G,5-11,177,"February 2, 1968",Kansas State University
Steve Johnson,1982,1991,C-F,6-10,235,"November 3, 1957",Oregon State University
Steve Kerr,1989,2003,G,6-3,175,"September 27, 1965",University of Arizona
Steve Lingenfelter,1983,1984,F,6-9,225,"June 10, 1958","University of Minnesota, South Dakota State University"
Steve Nash*,1997,2014,G,6-3,195,"February 7, 1974",Santa Clara University
Steve Novak,2007,2017,F,6-10,225,"June 13, 1983",Marquette University
Steve Scheffler,1991,1997,C-F,6-9,250,"September 3, 1967",Purdue University
Steve Smith,1992,2005,G,6-7,200,"March 31, 1969",Michigan State University
Steve Stipanovich,1984,1988,C,6-11,245,"November 17, 1960",University of Missouri
Steven Adams,2014,2019,C,7-0,265,"July 20, 1993",University of Pittsburgh
Steven Hill,2009,2009,C,7-0,248,"November 14, 1985",University of Arkansas
Steven Hunter,2002,2010,C,7-0,220,"October 31, 1981",DePaul University
Steven Smith,2007,2007,F,6-8,235,"April 12, 1983",La Salle University
Stevin Smith,1997,1997,G,6-2,208,"January 24, 1972",Arizona State University
Stewart Granger,1984,1987,G,6-3,190,"October 27, 1961",Villanova University
Stojko Vrankovic,1991,1999,C,7-2,260,"January 22, 1964",
Stromile Swift,2001,2009,F,6-9,225,"November 21, 1979",Louisiana State University
Stuart Gray,1985,1991,C-F,7-0,235,"May 27, 1963","University of California, Los Angeles"
Sun Yue,2009,2009,G,6-9,205,"November 6, 1985",
Sundiata Gaines,2010,2012,G,6-1,185,"April 18, 1986",University of Georgia
Sviatoslav Mykhailiuk,2019,2019,G-F,6-8,205,"June 10, 1997",University of Kansas
Sylvester Gray,1989,1989,F,6-6,230,"July 8, 1967",University of Memphis
T.J. Ford,2004,2012,G,6-0,165,"March 24, 1983",University of Texas at Austin
T.J. Leaf,2018,2019,F,6-10,225,"April 30, 1997","University of California, Los Angeles"
T.J. McConnell,2016,2019,G,6-2,190,"March 25, 1992","Duquesne University, University of Arizona"
T.J. Warren,2015,2019,F,6-8,215,"September 5, 1993",North Carolina State University
Tahjere McCall,2019,2019,G,6-5,195,"August 17, 1994",Tennessee State University
Taj Gibson,2010,2019,F,6-9,232,"June 24, 1985",University of Southern California
Tamar Slay,2003,2005,G,6-8,215,"April 2, 1980",Marshall University
Tang Hamilton,2002,2002,F,6-8,220,"May 26, 1978",Mississippi State University
Tarence Kinsey,2007,2009,G,6-6,185,"March 21, 1984",University of South Carolina
Tarik Black,2015,2018,C-F,6-9,250,"November 22, 1991","University of Memphis, University of Kansas"
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","University of Michigan, San Jose State University"
Tate George,1991,1995,G,6-5,190,"May 29, 1968",University of Connecticut
Taurean Green,2008,2008,G,6-0,177,"November 28, 1986",University of Florida
Taurean Waller-Prince,2017,2019,F,6-8,220,"March 22, 1994",Baylor University
Taylor Griffin,2010,2010,F,6-7,238,"April 18, 1986",University of Oklahoma
Tayshaun Prince,2003,2016,F,6-9,212,"February 28, 1980",University of Kentucky
Tellis Frank,1988,1994,F-C,6-10,225,"April 26, 1965",Western Kentucky University
Terence Morris,2002,2006,F,6-9,221,"January 11, 1979",University of Maryland
Terence Stansbury,1985,1987,G,6-5,170,"February 27, 1961",Temple University
Terrance Ferguson,2018,2019,G-F,6-7,190,"May 17, 1998",
Terrance Roberson,2001,2001,F,6-7,215,"December 30, 1976","California State University, Fresno"
Terrel Harris,2012,2013,G,6-5,190,"August 10, 1987",Oklahoma State University
Terrell Brandon,1992,2002,G,5-11,180,"May 20, 1970",University of Oregon
Terrence Jones,2013,2019,F,6-9,252,"January 9, 1992",University of Kentucky
Terrence Rencher,1996,1996,G,6-3,185,"February 19, 1973",University of Texas at Austin
Terrence Ross,2013,2019,F-G,6-7,206,"February 5, 1991",University of Washington
Terrence Williams,2010,2013,F,6-6,220,"June 28, 1987",University of Louisville
Terry Catledge,1986,1993,F,6-8,220,"August 22, 1963",University of South Alabama
Terry Cummings,1983,2000,F,6-9,220,"March 15, 1961",DePaul University
Terry Davis,1990,2001,F-C,6-9,225,"June 17, 1967",Virginia Union University
Terry Dehere,1994,1999,G,6-2,190,"September 12, 1971",Seton Hall University
Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",University of South Carolina
Terry Mills,1991,2001,F,6-10,230,"December 21, 1967",University of Michigan
Terry Porter,1986,2002,G,6-3,195,"April 8, 1963",University of Wisconsin-Stevens Point
Terry Rozier,2016,2019,G,6-1,190,"March 17, 1994",University of Louisville
Terry Teagle,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor University
Thabo Sefolosha,2007,2019,G-F,6-7,220,"May 2, 1984",
Thaddeus Young,2008,2019,F,6-8,221,"June 21, 1988",Georgia Institute of Technology
Thanasis Antetokounmpo,2016,2016,F,6-7,205,"July 17, 1992",
Tharon Mayes,1992,1992,G,6-3,175,"September 9, 1968",Florida State University
Theo Pinson,2019,2019,G,6-6,218,"November 5, 1995",University of North Carolina
Theo Ratliff,1996,2011,C-F,6-10,225,"April 17, 1973",University of Wyoming
Theron Smith,2004,2005,F,6-8,225,"October 3, 1980",Ball State University
Thomas Bryant,2018,2019,C,6-11,248,"July 31, 1997",Indiana University
Thomas Gardner,2008,2009,G,6-5,225,"February 8, 1985",University of Missouri
Thomas Hamilton,1996,2000,C,7-2,330,"April 3, 1975",University of Pittsburgh
Thomas Jordan,1993,1993,F-C,6-10,220,"May 23, 1968",Oklahoma State University
Thomas Robinson,2013,2017,F,6-10,237,"March 17, 1991",University of Kansas
Thomas Welsh,2019,2019,C,7-0,255,"February 3, 1996","University of California, Los Angeles"
Thon Maker,2017,2019,F-C,7-1,221,"February 25, 1997",
Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",North Carolina State University
Tiago Splitter,2011,2017,F-C,6-11,245,"January 1, 1985",
Tibor Pleiss,2016,2016,C,7-3,256,"November 2, 1989",
Tierre Brown,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University
Tim Breaux,1995,1998,F,6-7,215,"September 19, 1970",University of Wyoming
Tim Duncan,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest University
Tim Frazier,2015,2019,G,6-1,170,"November 1, 1990",Pennsylvania State University
Tim Hardaway,2014,2019,G,6-6,205,"March 16, 1992",University of Michigan
Tim Hardaway,1990,2003,G,6-0,175,"September 1, 1966",University of Texas at El Paso
Tim James,2000,2002,F,6-7,212,"December 26, 1976",University of Miami
Tim Kempton,1987,1998,F-C,6-10,245,"January 25, 1964",University of Notre Dame
Tim Legler,1990,2000,G,6-4,200,"December 26, 1966",La Salle University
Tim McCormick,1985,1992,C,6-11,240,"March 10, 1962",University of Michigan
Tim Ohlbrecht,2013,2013,C,6-11,255,"August 30, 1988",
Tim Perry,1989,1996,F-C,6-9,200,"June 4, 1965",Temple University
Tim Quarterman,2017,2018,G,6-6,195,"October 27, 1994",Louisiana State University
Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova University
Tim Young,2000,2000,C,7-0,220,"February 6, 1976",Stanford University
Timofey Mozgov,2011,2018,C,7-1,275,"July 16, 1986",
Timothe Luwawu-Cabarrot,2017,2019,F,6-6,210,"May 9, 1995",
Tito Horford,1989,1994,C,7-1,245,"January 19, 1966",University of Miami
Tito Maddox,2003,2003,G,6-4,190,"June 7, 1981","California State University, Fresno"
Tobias Harris,2012,2019,F,6-9,235,"July 15, 1992",University of Tennessee
Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975","University of California, Los Angeles"
Tod Murphy,1988,1994,C-F,6-9,220,"December 24, 1963","University of California, Irvine"
Todd Day,1993,2001,G-F,6-6,188,"January 7, 1970",University of Arkansas
Todd Fuller,1997,2001,C,6-11,255,"July 25, 1974",North Carolina State University
Todd Lichti,1990,1994,G-F,6-4,205,"January 8, 1967",Stanford University
Todd MacCulloch,2000,2003,C,7-0,280,"January 27, 1976",University of Washington
Todd Mitchell,1989,1989,F,6-7,205,"July 26, 1966",Purdue University
Todd Mundt,1996,1996,C,7-0,250,"May 17, 1970","University of Memphis, Delta State University"
Tom Chambers,1982,1998,F-C,6-10,220,"June 21, 1959",University of Utah
Tom Copa,1992,1992,C,6-10,275,"October 30, 1964",Marquette University
Tom Garrick,1989,1992,G,6-2,185,"July 7, 1966",University of Rhode Island
Tom Gugliotta,1993,2005,F,6-10,240,"December 19, 1969",North Carolina State University
Tom Hammonds,1990,2001,F,6-9,215,"March 27, 1967",Georgia Institute of Technology
Tom Hovasse,1995,1995,F,6-8,205,"January 31, 1967",Pennsylvania State University
Tom Piotrowski,1984,1984,C,7-1,240,"October 17, 1960",La Salle University
Tom Scheffler,1985,1985,C,6-11,240,"October 27, 1954",Purdue University
Tom Sewell,1985,1985,G,6-5,185,"March 11, 1962",Lamar University
Tom Sluby,1985,1985,G,6-4,200,"February 18, 1962",University of Notre Dame
Tom Tolbert,1989,1995,F-C,6-7,235,"October 16, 1965","University of California, Irvine, University of Arizona"
Tomas Satoransky,2017,2019,G,6-7,210,"October 30, 1991",
Toney Douglas,2010,2017,G,6-2,195,"March 16, 1986","Auburn University, Florida State University"
Toni Kukoc,1994,2006,F,6-10,192,"September 18, 1968",
Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State University"
Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech University
Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",University of Wisconsin-Green Bay
Tony Bobbitt,2005,2005,G,6-4,190,"October 22, 1979",University of Cincinnati
Tony Bradley,2018,2019,F-C,6-10,248,"January 8, 1998",University of North Carolina
Tony Brown,1985,1992,F-G,6-6,185,"July 29, 1960",University of Arkansas
Tony Campbell,1985,1995,F-G,6-7,215,"May 7, 1962",Ohio State University
Tony Dawson,1991,1995,F,6-7,215,"August 25, 1967",Florida State University
Tony Delk,1997,2006,G,6-1,189,"January 28, 1974",University of Kentucky
Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",University of Missouri-Kansas City
Tony Farmer,1998,2000,F,6-9,244,"January 3, 1970","San Jose State University, University of Nebraska"
Tony Fuller,1981,1981,G,6-4,180,"September 4, 1958",Pepperdine University
Tony Harris,1991,1995,G,6-3,190,"May 13, 1967","Lamar University, University of New Orleans"
Tony Jackson,1981,1981,G,6-0,170,"January 17, 1958",Florida State University
Tony Massenburg,1991,2005,F,6-9,220,"July 31, 1967",University of Maryland
Tony Mitchell,2014,2014,F,6-8,235,"April 7, 1992",University of North Texas
Tony Mitchell,2014,2014,F,6-6,216,"August 7, 1989",University of Alabama
Tony Parker,2002,2019,G,6-2,185,"May 17, 1982",
Tony Price,1981,1981,G,6-6,190,"January 5, 1957",University of Pennsylvania
Tony Smith,1991,2001,G,6-3,185,"June 14, 1968",Marquette University
Tony Snell,2014,2019,G-F,6-7,213,"November 10, 1991",University of New Mexico
Tony White,1988,1988,G,6-2,170,"February 15, 1965",University of Tennessee
Tony Wroten,2013,2016,G,6-6,205,"April 13, 1993",University of Washington
Torgeir Bryn,1990,1990,C,6-9,250,"August 8, 1964",Texas State University
Tornike Shengelia,2013,2014,F,6-9,217,"October 5, 1991",
Torraye Braggs,2004,2005,F,6-8,245,"May 15, 1976",Xavier University
Torrey Craig,2018,2019,G-F,6-7,215,"December 19, 1990",University of South Carolina Upstate
Toure' Murry,2014,2015,G-F,6-5,195,"November 8, 1989",Wichita State University
Tracy Jackson,1982,1984,G-F,6-6,205,"April 21, 1959",University of Notre Dame
Tracy McGrady*,1998,2012,F-G,6-8,210,"May 24, 1979",
Tracy Moore,1992,1997,G-F,6-4,200,"December 28, 1965",University of Tulsa
Tracy Murray,1993,2004,F,6-7,225,"July 25, 1971","University of California, Los Angeles"
Trae Young,2019,2019,G,6-2,180,"September 19, 1998",University of Oklahoma
Trajan Langdon,2000,2002,G,6-3,197,"May 13, 1976",Duke University
Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Institute of Technology
Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette University
Travis Hansen,2004,2004,G,6-6,205,"April 15, 1978","Utah Valley State College, Brigham Young University"
Travis Knight,1997,2003,C,7-0,235,"September 13, 1974",University of Connecticut
Travis Leslie,2012,2012,G,6-4,205,"March 29, 1990",University of Georgia
Travis Mays,1991,1993,G,6-2,190,"June 19, 1968",University of Texas at Austin
Travis Outlaw,2004,2014,F,6-9,210,"September 18, 1984",
Travis Wear,2015,2018,F,6-10,230,"September 21, 1990","University of North Carolina, University of California, Los Angeles"
Travis Williams,1998,1999,F,6-6,215,"May 27, 1969",South Carolina State University
